zipcode,properties_in_region
98001,358
98002,197
98003,276
98004,315
98005,168
98006,490
98007,139
98008,283
98010,99
98011,194
98014,123
98019,190
98022,234
98023,492
98024,79
98027,411
98028,282
98029,320
98030,253
98031,271
98032,123
98033,431
98034,543
98038,586
98039,49
98040,282
98042,546
98045,219
98052,571
98053,401
98055,260
98056,404
98058,451
98059,465
98065,305
98070,116
98072,272
98074,435
98075,358
98077,196
98092,351
98102,104
98103,599
98105,229
98106,330
98107,264
98108,185
98109,109
98112,268
98115,576
98116,329
98117,548
98118,498
98119,184
98122,289
98125,402
98126,352
98133,484
98136,263
98144,340
98146,281
98148,56
98155,442
98166,250
98168,264
98177,254
98178,258
98188,135
98198,275
98199,316
