ZIP,AVG_PROFIT
98001,24334.9943172414
98002,30863.81224489794
98003,30262.66820447759
98004,97809.52984615394
98005,100777.83901234565
98006,53982.34619834714
98007,74445.84597014924
98008,52958.68745142862
98010,42093.97999999999
98011,64570.703157894706
98014,46686.01263157893
98019,52389.73538461537
98022,31234.343012068948
98023,20923.785423728834
98024,55961.383783783764
98027,41575.92200980396
98028,49054.11466330931
98029,54541.31094683549
98030,32726.088262903206
98031,33479.80381666665
98032,32639.23999999999
98033,49752.8625714286
98034,36049.36149446499
98038,26483.864283276456
98039,223245.0782608695
98040,109883.87447299261
98042,22424.188245283036
98045,42027.00222264149
98052,47253.226850533836
98053,56152.481007106646
98055,31808.91145555554
98056,32816.46554314724
98058,25906.904530516436
98059,32356.176526548705
98065,46805.25203758394
98070,56552.67259259257
98072,56599.70297611936
98074,49111.73119718312
98075,71913.48091685401
98077,78140.95999999999
98092,29103.961897674446
98102,89437.64705882351
98103,40733.738418367386
98105,75117.57290973447
98106,28542.415044155874
98107,63543.34545891469
98108,43724.82
98109,93791.62264150943
98112,90336.55530307685
98115,43387.1957651246
98116,52721.359979617875
98117,41824.15694029855
98118,27148.283568376086
98119,93924.91304347824
98122,51896.12892086335
98125,40438.82115918372
98126,35945.28067368425
98133,29681.066916666685
98136,53400.70932656246
98144,42133.29605889575
98146,30250.869263157874
98148,36255.35999999999
98155,29333.10381944446
98166,39549.5818033898
98168,25761.262208130058
98177,57869.291433333296
98178,29500.489288888868
98188,34510.7709090909
98198,28484.951955223863
98199,60939.85051719752
